Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
8181;CA-2015-119879;11/09/16;11/25/2015;Standard Class;SS-20410;Shahid Shariari;Consumer;United States;Philadelphia;Pennsylvania;19120;East;FUR-TA-10002958;Furniture;Tables;Bevis Oval Conference Table, Walnut;1252704;8;4;-4802032
8236;CA-2017-102204;05/01/17;05/06/2017;Standard Class;CJ-12010;Caroline Jumper;Consumer;United States;Jacksonville;Florida;32216;South;FUR-TA-10001889;Furniture;Tables;Bush Advantage Collection Racetrack Conference Table;933262;4;45;-4581468
2358;US-2014-148838;03/05/15;3/21/2014;Standard Class;CP-12340;Christine Phan;Corporate;United States;New York City;New York;10024;East;FUR-TA-10003473;Furniture;Tables;Bretford Rectangular Conference Table Tops;1579746;7;4;-4475947
5056;CA-2015-141243;01/03/15;01/08/2015;Second Class;AH-10465;Amy Hunt;Consumer;United States;Dallas;Texas;75217;Central;FUR-BO-10003272;Furniture;Bookcases;O'Sullivan Living Dimensions 5-Shelf Bookcases;13523976;9;32;-4375404
5785;CA-2017-141117;10/02/17;10/08/2017;Standard Class;JK-16090;Juliana Krohn;Consumer;United States;Springfield;Oregon;97477;West;FUR-BO-10001972;Furniture;Bookcases;O'Sullivan 4-Shelf Bookcase in Odessa Pine;217764;6;7;-3847164
9093;CA-2015-162950;06/04/17;07/03/2015;Second Class;DW-13585;Dorothy Wardle;Corporate;United States;Troy;Ohio;45373;East;FUR-BO-10001918;Furniture;Bookcases;Sauder Forest Hills Library with Doors, Woodland Oak Finish;48294;6;5;-3766932
1670;US-2015-157154;01/10/15;1/15/2015;Standard Class;MM-17920;Michael Moore;Consumer;United States;New York City;New York;10011;East;FUR-TA-10001889;Furniture;Tables;Bush Advantage Collection Racetrack Conference Table;1018104;4;4;-3733048
5012;US-2017-139647;05/11/17;5/13/2017;First Class;TS-21370;Todd Sumrall;Corporate;United States;Phoenix;Arizona;85023;West;FUR-BO-10004467;Furniture;Bookcases;Bestar Classic Bookcase;209979;7;7;-3569643
4230;CA-2017-100223;07/05/17;07/10/2017;Standard Class;LS-16945;Linda Southworth;Corporate;United States;Dallas;Texas;75220;Central;FUR-FU-10003601;Furniture;Furnishings;Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting;332028;9;6;-3486294
2142;CA-2014-159520;06/06/14;06/11/2014;Standard Class;GT-14635;Grant Thornton;Corporate;United States;Long Beach;New York;11561;East;FUR-TA-10003238;Furniture;Tables;"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables";991764;3;4;-3471174
400;CA-2016-108987;09/08/16;09/10/2016;Second Class;AG-10675;Anna Gayman;Consumer;United States;Houston;Texas;77036;Central;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;23962656;4;32;-3171528
468;US-2015-101399;01/05/16;1/24/2015;Standard Class;JS-15940;Joni Sundaresam;Home Office;United States;Park Ridge;Illinois;60068;Central;FUR-FU-10002918;Furniture;Furnishings;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;254744;7;6;-3120614
6647;US-2016-127334;12/03/17;12/21/2016;Standard Class;MP-18175;Mike Pelletier;Home Office;United States;Springfield;Oregon;97477;West;FUR-TA-10003473;Furniture;Tables;Bretford Rectangular Conference Table Tops;564195;3;5;-3046653
6431;CA-2014-165764;11/03/14;11/07/2014;Standard Class;SH-20395;Shahid Hopkins;Consumer;United States;Jacksonville;North Carolina;28540;South;FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;945036;6;4;-2992614
378;US-2017-134481;08/03/19;09/01/2017;Standard Class;AR-10405;Allen Rosenblatt;Corporate;United States;Franklin;Massachusetts;2038;East;FUR-TA-10004915;Furniture;Tables;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";1488424;7;3;-2976848
1563;US-2017-102890;06/06/19;6/30/2017;Same Day;SG-20470;Sheri Gordon;Consumer;United States;New York City;New York;10011;East;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;104463;5;4;-2959785
6713;CA-2017-107629;12/02/18;12/14/2017;Same Day;DB-13060;Dave Brooks;Consumer;United States;Skokie;Illinois;60076;Central;FUR-FU-10002298;Furniture;Furnishings;"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle";266352;6;6;-2929872
1003;CA-2015-124891;07/07/17;7/31/2015;Same Day;RH-19495;Rick Hansen;Consumer;United States;New York City;New York;10024;East;FUR-TA-10002903;Furniture;Tables;"Bevis Round Bullnose 29"" High Table Top";1090782;7;4;-2908752
3860;CA-2017-154039;02/05/18;2/22/2017;Standard Class;JK-16120;Julie Kriz;Home Office;United States;Chicago;Illinois;60653;Central;FUR-TA-10001932;Furniture;Tables;"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table";48096;3;5;-2693376
1083;US-2016-143819;03/01/16;03/05/2016;Standard Class;KD-16270;Karen Daniels;Consumer;United States;Yonkers;New York;10701;East;FUR-TA-10001095;Furniture;Tables;Chromcraft Round Conference Tables;836592;8;4;-2649208
329;US-2016-141544;08/06/18;09/01/2016;First Class;PO-18850;Patrick O'Brill;Consumer;United States;Philadelphia;Pennsylvania;19143;East;FUR-CH-10003312;Furniture;Chairs;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;786744;4;3;-2585016
8137;CA-2016-118073;08/12/16;8/16/2016;Standard Class;CS-12490;Cindy Schnelling;Corporate;United States;Lakeland;Florida;33801;South;FUR-TA-10002533;Furniture;Tables;BPI Conference Tables;5622925;7;45;-2555875
5956;CA-2014-155796;11/11/14;11/15/2014;Second Class;TS-21430;Tom Stivers;Corporate;United States;Reading;Pennsylvania;19601;East;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;52196;4;5;-2505408
8950;CA-2017-150910;12/10/18;12/28/2017;Standard Class;JL-15130;Jack Lebron;Consumer;United States;Jackson;Tennessee;38301;South;FUR-TA-10002903;Furniture;Tables;"Bevis Round Bullnose 29"" High Table Top";934956;6;4;-2493216
233;US-2017-100930;04/07/17;04/12/2017;Standard Class;CS-12400;Christopher Schild;Home Office;United States;Tampa;Florida;33614;South;FUR-TA-10003473;Furniture;Tables;Bretford Rectangular Conference Table Tops;6206145;3;45;-2482458
7995;US-2015-165743;11/08/16;11/23/2015;Second Class;MM-18055;Michelle Moray;Consumer;United States;Aurora;Colorado;80013;West;FUR-BO-10002268;Furniture;Bookcases;Sauder Barrister Bookcases;145764;6;7;-2477988
6286;CA-2016-125080;10/09/17;10/26/2016;Standard Class;VW-21775;Victoria Wilson;Corporate;United States;Lakewood;Ohio;44107;East;FUR-TA-10003238;Furniture;Tables;"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables";661176;2;4;-2314116
1690;CA-2014-142839;08/04/15;8/20/2014;Standard Class;TS-21610;Troy Staebel;Consumer;United States;Philadelphia;Pennsylvania;19143;East;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;853092;6;4;-2274912
2404;US-2016-110170;09/03/18;10/03/2016;Standard Class;HM-14860;Harry Marie;Corporate;United States;Huntsville;Texas;77340;Central;FUR-BO-10000780;Furniture;Bookcases;O'Sullivan Plantations 2-Door Library in Landvery Oak;9566648;7;32;-2250976
4267;US-2016-131611;11/05/16;11/09/2016;Standard Class;EP-13915;Emily Phan;Consumer;United States;Houston;Texas;77036;Central;FUR-BO-10000780;Furniture;Bookcases;O'Sullivan Plantations 2-Door Library in Landvery Oak;9566648;7;32;-2250976
2540;CA-2015-113404;07/04/16;7/16/2015;Same Day;EM-13810;Eleni McCrary;Corporate;United States;San Francisco;California;94122;West;FUR-CH-10003312;Furniture;Chairs;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;1348704;6;2;-2191644
5543;CA-2016-134936;12/07/17;12/25/2016;Standard Class;ES-14080;Erin Smith;Corporate;United States;Tucson;Arizona;85705;West;FUR-TA-10001086;Furniture;Tables;SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine;45597;6;5;-2188656
7555;CA-2014-114181;05/10/14;5/14/2014;Second Class;AF-10885;Art Foster;Consumer;United States;Philadelphia;Pennsylvania;19134;East;FUR-BO-10004467;Furniture;Bookcases;Bestar Classic Bookcase;349965;7;5;-2169783
9604;CA-2016-129861;06/05/17;6/23/2016;Standard Class;DM-13345;Denise Monton;Corporate;United States;Rochester;New York;14609;East;FUR-TA-10003715;Furniture;Tables;Hon 2111 Invitation Series Corner Table;376866;3;4;-2135574
4722;CA-2014-106229;06/07/14;06/11/2014;Second Class;NR-18550;Nick Radford;Consumer;United States;Aurora;Illinois;60505;Central;FUR-TA-10002041;Furniture;Tables;Bevis Round Conference Table Top, X-Base;268935;3;5;-2097693
9220;US-2015-164238;08/04/16;8/20/2015;Standard Class;JW-15955;Joni Wasserman;Consumer;United States;Philadelphia;Pennsylvania;19120;East;FUR-BO-10000780;Furniture;Bookcases;O'Sullivan Plantations 2-Door Library in Landvery Oak;30147;3;5;-2049996
947;US-2015-140200;07/02/17;7/28/2015;First Class;CA-12775;Cynthia Arntzen;Consumer;United States;Mesa;Arizona;85204;West;FUR-TA-10002356;Furniture;Tables;Bevis Boat-Shaped Conference Table;393165;3;5;-2044458
1410;US-2016-122245;09/01/18;9/30/2016;Standard Class;AB-10105;Adrian Barton;Consumer;United States;Phoenix;Arizona;85023;West;FUR-TA-10002356;Furniture;Tables;Bevis Boat-Shaped Conference Table;393165;3;5;-2044458
8411;CA-2016-130820;11/03/17;11/15/2016;Same Day;ON-18715;Odella Nelson;Corporate;United States;Burlington;North Carolina;27217;South;FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;630024;4;4;-1995076
3481;CA-2016-131289;12/08/16;12/14/2016;Standard Class;SP-20620;Stefania Perrino;Corporate;United States;San Francisco;California;94110;West;FUR-TA-10003954;Furniture;Tables;Hon 94000 Series Round Tables;1421664;6;2;-1954788
3799;CA-2017-147760;11/04/17;11/05/2017;First Class;KL-16555;Kelly Lampkin;Corporate;United States;Greensboro;North Carolina;27405;South;FUR-TA-10004575;Furniture;Tables;Hon 5100 Series Wood Tables;523764;3;4;-1920468
7360;US-2014-115189;12/06/16;01/03/2015;Second Class;AR-10345;Alex Russell;Corporate;United States;Philadelphia;Pennsylvania;19143;East;FUR-TA-10004575;Furniture;Tables;Hon 5100 Series Wood Tables;523764;3;4;-1920468
7968;CA-2016-157707;10/10/16;10/12/2016;First Class;CC-12610;Corey Catlett;Corporate;United States;Denver;Colorado;80219;West;FUR-BO-10001567;Furniture;Bookcases;Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled;90882;3;7;-1908522
8071;CA-2017-151750;01/01/17;01/05/2017;Standard Class;JM-15250;Janet Martin;Consumer;United States;Huntsville;Texas;77340;Central;FUR-FU-10002116;Furniture;Furnishings;Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats;14142;5;6;-1873815
6660;CA-2017-135937;02/08/18;2/27/2017;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Gilbert;Arizona;85234;West;FUR-TA-10001039;Furniture;Tables;KI Adjustable-Height Table;38691;9;5;-1857168
5751;CA-2014-145800;05/06/16;06/05/2014;Standard Class;SS-20410;Shahid Shariari;Consumer;United States;Buffalo Grove;Illinois;60089;Central;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;355455;3;5;-1848366
5474;CA-2017-116946;12/07/18;12/23/2017;Standard Class;TS-21505;Tony Sayre;Consumer;United States;Parker;Colorado;80134;West;FUR-BO-10000468;Furniture;Bookcases;O'Sullivan 2-Shelf Heavy-Duty Bookcases;102018;7;7;-1836324
5158;CA-2017-163006;06/06/19;07/04/2017;Second Class;GH-14410;Gary Hansen;Home Office;United States;Chicago;Illinois;60653;Central;FUR-CH-10000229;Furniture;Chairs;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;569058;3;3;-1788468
1506;CA-2015-153388;08/01/15;08/07/2015;Standard Class;PC-19000;Pauline Chand;Home Office;United States;Los Angeles;California;90004;West;FUR-TA-10003715;Furniture;Tables;Hon 2111 Invitation Series Corner Table;1004976;6;2;-1758708
8413;CA-2017-132290;03/10/17;3/14/2017;Standard Class;MD-17350;Maribeth Dona;Consumer;United States;Dallas;Texas;75217;Central;FUR-TA-10002228;Furniture;Tables;Bevis Traditional Conference Table Top, Plinth Base;933408;4;3;-1733472
6548;CA-2014-113880;03/01/14;03/05/2014;Standard Class;VF-21715;Vicky Freymann;Home Office;United States;Elmhurst;Illinois;60126;Central;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;634116;6;3;-1721172
2985;US-2014-112872;12/06/14;12/11/2014;Second Class;RC-19960;Ryan Crowe;Consumer;United States;Springfield;Oregon;97477;West;FUR-TA-10003238;Furniture;Tables;"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables";27549;1;5;-1708038
756;CA-2016-140928;09/06/17;9/22/2016;Standard Class;NB-18655;Nona Balk;Corporate;United States;Jacksonville;Florida;32216;South;FUR-TA-10001095;Furniture;Tables;Chromcraft Round Conference Tables;383438;4;45;-1673184
6899;US-2015-165512;05/12/16;5/26/2015;Second Class;VS-21820;Vivek Sundaresam;Consumer;United States;Naperville;Illinois;60540;Central;FUR-CH-10002880;Furniture;Chairs;Global High-Back Leather Tilter, Burgundy;602651;7;3;-1635767
4265;US-2016-131611;11/05/16;11/09/2016;Standard Class;EP-13915;Emily Phan;Consumer;United States;Houston;Texas;77036;Central;FUR-TA-10002774;Furniture;Tables;Laminate Occasional Tables;863128;8;3;-1602952
385;US-2015-168935;11/03/17;12/02/2015;Standard Class;DO-13435;Denny Ordway;Consumer;United States;Pembroke Pines;Florida;33024;South;FUR-TA-10000617;Furniture;Tables;Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal;3754575;3;45;-1570095
729;US-2016-150861;12/03/16;12/06/2016;First Class;EG-13900;Emily Grady;Consumer;United States;Oceanside;New York;11572;East;FUR-TA-10002228;Furniture;Tables;Bevis Traditional Conference Table Top, Plinth Base;400032;2;4;-1533456
1581;CA-2015-131338;08/09/15;08/12/2015;First Class;NP-18325;Naresj Patel;Consumer;United States;New York City;New York;10024;East;FUR-TA-10002607;Furniture;Tables;KI Conference Tables;382806;9;4;-1531224
5288;CA-2017-105991;05/05/17;05/06/2017;First Class;LH-17020;Lisa Hazard;Consumer;United States;Louisville;Colorado;80027;West;FUR-BO-10004467;Furniture;Bookcases;Bestar Classic Bookcase;89991;3;7;-1529847
7306;CA-2014-137274;03/05/16;04/02/2014;Standard Class;MG-18145;Mike Gockenbach;Consumer;United States;Plano;Texas;75023;Central;FUR-TA-10001889;Furniture;Tables;Bush Advantage Collection Racetrack Conference Table;890841;3;3;-1527156
7081;CA-2016-106950;09/02/16;09/06/2016;Standard Class;JE-15715;Joe Elijah;Consumer;United States;Charlotte;North Carolina;28205;South;FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;472518;3;4;-1496307
5998;CA-2016-162187;12/11/16;12/11/2016;Same Day;NS-18640;Noel Staavos;Corporate;United States;Columbus;Ohio;43229;East;FUR-TA-10003008;Furniture;Tables;Lesro Round Back Collection Coffee Table, End Table;32859;3;4;-1478655
6537;CA-2014-169684;10/08/15;10/23/2014;First Class;FH-14365;Fred Hopkins;Corporate;United States;Knoxville;Tennessee;37918;South;FUR-TA-10003008;Furniture;Tables;Lesro Round Back Collection Coffee Table, End Table;32859;3;4;-1478655
1368;US-2017-155425;11/10/17;11/11/2017;First Class;AB-10600;Ann Blume;Corporate;United States;Tucson;Arizona;85705;West;FUR-CH-10003312;Furniture;Chairs;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;899136;4;2;-1461096
4786;CA-2015-104346;12/11/15;12/16/2015;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Colorado Springs;Colorado;80906;West;FUR-BO-10003450;Furniture;Bookcases;Bush Westfield Collection Bookcases, Dark Cherry Finish;69576;4;7;-1437904
9900;US-2014-117380;03/04/16;04/03/2014;Standard Class;MP-18175;Mike Pelletier;Home Office;United States;Springfield;Ohio;45503;East;FUR-TA-10000198;Furniture;Tables;Chromcraft Bull-Nose Wood Oval Conference Tables & Bases;330588;1;4;-1432548
2727;CA-2017-149888;11/07/17;11/13/2017;Standard Class;EP-13915;Emily Phan;Consumer;United States;Philadelphia;Pennsylvania;19120;East;FUR-TA-10000849;Furniture;Tables;Bevis Rectangular Conference Tables;350352;4;4;-1401408
9088;CA-2016-143406;09/02/18;9/30/2016;Standard Class;LR-17035;Lisa Ryan;Corporate;United States;Houston;Texas;77041;Central;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;454965;5;3;-1364895
2747;CA-2014-155887;05/12/14;5/17/2014;Standard Class;KT-16480;Kean Thornton;Consumer;United States;Franklin;Massachusetts;2038;East;FUR-TA-10002228;Furniture;Tables;Bevis Traditional Conference Table Top, Plinth Base;700056;3;3;-1300104
6122;CA-2017-143378;09/07/18;9/25/2017;Standard Class;JR-16210;Justin Ritter;Corporate;United States;Springfield;Oregon;97477;West;FUR-BO-10001972;Furniture;Bookcases;O'Sullivan 4-Shelf Bookcase in Odessa Pine;72588;2;7;-1282388
4003;CA-2016-145730;03/03/16;03/08/2016;Standard Class;CC-12220;Chris Cortes;Consumer;United States;San Antonio;Texas;78207;Central;FUR-TA-10004915;Furniture;Tables;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";637896;3;3;-1275792
8449;CA-2017-125451;10/11/18;10/24/2017;First Class;AH-10075;Adam Hart;Corporate;United States;Cranston;Rhode Island;2920;East;FUR-TA-10004915;Furniture;Tables;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";637896;3;3;-1275792
4384;US-2015-122784;07/08/16;7/27/2015;Standard Class;RA-19915;Russell Applegate;Consumer;United States;Highland Park;Illinois;60035;Central;FUR-BO-10004690;Furniture;Bookcases;O'Sullivan Cherrywood Estates Traditional Barrister Bookcase;384944;4;3;-1264816
2360;US-2014-148838;03/05/15;3/21/2014;Standard Class;CP-12340;Christine Phan;Corporate;United States;New York City;New York;10024;East;FUR-TA-10004175;Furniture;Tables;"Hon 30"" x 60"" Table with Locking Drawer";613908;3;4;-1227816
2610;CA-2014-127446;11/01/16;11/30/2014;Standard Class;MC-17590;Matt Collister;Corporate;United States;Arlington;Texas;76017;Central;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1218735;5;3;-1218735
5924;CA-2016-130288;11/02/18;11/30/2016;Second Class;DK-13225;Dean Katz;Corporate;United States;New York City;New York;10011;East;FUR-TA-10002958;Furniture;Tables;Bevis Oval Conference Table, Walnut;313176;2;4;-1200508
7396;CA-2016-110975;12/01/18;12/30/2016;Standard Class;DB-12970;Darren Budd;Corporate;United States;New York City;New York;10024;East;FUR-TA-10002958;Furniture;Tables;Bevis Oval Conference Table, Walnut;313176;2;4;-1200508
8721;CA-2016-120824;06/12/16;6/16/2016;Second Class;AW-10930;Arthur Wiediger;Home Office;United States;Houston;Texas;77070;Central;FUR-CH-10000229;Furniture;Chairs;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;379372;2;3;-1192312
4670;US-2017-133200;05/06/17;05/11/2017;Standard Class;DB-13555;Dorothy Badders;Corporate;United States;Fort Worth;Texas;76106;Central;FUR-BO-10001601;Furniture;Bookcases;Sauder Mission Library with Doors, Fruitwood Finish;6234648;7;32;-1191918
662;CA-2015-146563;08/12/16;8/28/2015;Standard Class;CB-12025;Cassandra Brandow;Consumer;United States;Arlington;Texas;76017;Central;FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;918785;5;3;-1181295
7880;CA-2016-155747;06/02/17;6/21/2016;Standard Class;JS-15685;Jim Sink;Corporate;United States;Philadelphia;Pennsylvania;19140;East;FUR-TA-10003392;Furniture;Tables;Global Adaptabilities Conference Tables;337176;2;4;-1180116
2229;CA-2016-139157;10/01/16;10/05/2016;Standard Class;GM-14680;Greg Matthias;Consumer;United States;New York City;New York;10024;East;FUR-TA-10003238;Furniture;Tables;"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables";330588;1;4;-1157058
6484;CA-2017-113908;06/03/17;06/09/2017;Standard Class;KN-16390;Katherine Nockton;Corporate;United States;New York City;New York;10011;East;FUR-TA-10001932;Furniture;Tables;"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table";384768;2;4;-1154304
73;US-2015-134026;04/02/17;05/02/2015;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;831936;8;2;-1143912
7202;CA-2016-104276;11/03/18;12/03/2016;Standard Class;HF-14995;Herbert Flentye;Consumer;United States;Fort Lauderdale;Florida;33311;South;FUR-TA-10001039;Furniture;Tables;KI Adjustable-Height Table;331023;7;45;-1143534
9545;CA-2015-135251;08/06/15;08/10/2015;Standard Class;RP-19270;Rachel Payne;Corporate;United States;Houston;Texas;77095;Central;FUR-BO-10003965;Furniture;Bookcases;O'Sullivan Manor Hill 2-Door Library in Brianna Oak;3691992;3;32;-1140174
409;CA-2017-117457;12/08/17;12/12/2017;Standard Class;KH-16510;Keith Herrera;Consumer;United States;San Francisco;California;94110;West;FUR-TA-10002041;Furniture;Tables;Bevis Round Conference Table Top, X-Base;1004024;7;2;-1129527
1900;CA-2014-169775;08/05/16;09/02/2014;Second Class;RA-19945;Ryan Akin;Consumer;United States;Miami;Florida;33178;South;FUR-TA-10001857;Furniture;Tables;Balt Solid Wood Rectangular Table;1740585;3;45;-1107645
7002;CA-2015-104871;03/06/17;04/03/2015;Standard Class;DR-12940;Daniel Raglin;Home Office;United States;Normal;Illinois;61761;Central;FUR-CH-10003298;Furniture;Chairs;Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal;366744;4;3;-1100232
8505;CA-2016-109400;05/02/16;05/06/2016;Standard Class;NR-18550;Nick Radford;Consumer;United States;Amarillo;Texas;79109;Central;FUR-CH-10003298;Furniture;Chairs;Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal;366744;4;3;-1100232
3839;CA-2014-126760;07/02/16;08/02/2014;Standard Class;KM-16720;Kunst Miller;Consumer;United States;North Las Vegas;Nevada;89031;West;FUR-CH-10003312;Furniture;Chairs;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;674352;3;2;-1095822
5125;CA-2014-160766;09/02/15;9/14/2014;Same Day;DM-13015;Darrin Martin;Consumer;United States;New York City;New York;10009;East;FUR-TA-10001039;Furniture;Tables;KI Adjustable-Height Table;464292;9;4;-1083348
7484;CA-2014-129938;12/03/15;12/17/2014;Second Class;EB-13705;Ed Braxton;Corporate;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10003774;Furniture;Chairs;Global Wood Trimmed Manager's Task Chair, Khaki;445802;7;3;-1082662
7489;US-2015-134558;12/07/16;12/24/2015;Second Class;PM-19135;Peter McVee;Home Office;United States;Dover;New Hampshire;3820;East;FUR-TA-10003473;Furniture;Tables;Bretford Rectangular Conference Table Tops;1053164;4;3;-1053164
3429;US-2017-111024;07/03/17;07/06/2017;Second Class;SZ-20035;Sam Zeldin;Home Office;United States;Lancaster;Ohio;43130;East;FUR-TA-10002041;Furniture;Tables;Bevis Round Conference Table Top, X-Base;215148;2;4;-1039882
6226;CA-2015-133445;10/05/15;10/09/2015;Standard Class;JF-15490;Jeremy Farry;Consumer;United States;Portland;Oregon;97206;West;FUR-BO-10003660;Furniture;Bookcases;Bush Cubix Collection Bookcases, Fully Assembled;66294;1;7;-1038606
5883;CA-2016-133935;09/06/17;9/22/2016;Standard Class;JW-15220;Jane Waco;Corporate;United States;San Diego;California;92105;West;FUR-CH-10002880;Furniture;Chairs;Global High-Back Leather Tilter, Burgundy;885528;9;2;-996219
9359;CA-2016-168046;01/01/18;1/28/2016;Second Class;JD-15895;Jonathan Doherty;Corporate;United States;New York City;New York;10024;East;FUR-TA-10001095;Furniture;Tables;Chromcraft Round Conference Tables;313722;3;4;-993453
2438;CA-2014-164210;11/06/15;11/20/2014;Second Class;PW-19240;Pierre Wener;Consumer;United States;Louisville;Colorado;80027;West;FUR-TA-10000849;Furniture;Tables;Bevis Rectangular Conference Tables;14598;2;5;-992664
8985;CA-2016-110898;03/06/16;03/12/2016;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Chicago;Illinois;60623;Central;FUR-TA-10000849;Furniture;Tables;Bevis Rectangular Conference Tables;14598;2;5;-992664
2478;CA-2017-102750;09/04/17;09/08/2017;Second Class;GM-14695;Greg Maxwell;Corporate;United States;Los Angeles;California;90036;West;FUR-TA-10000198;Furniture;Tables;Chromcraft Bull-Nose Wood Oval Conference Tables & Bases;1322352;3;2;-991764
